GameRound,ground,Hands,Backhands,Season,Ages,prize,Rank,Sets
Round of 32,Hard,Right,Two,Summer,7,50000,120,2
Quarter-Finals,Hard,Right,One,Summer,1,50000,200,2
Round of 32,Hard,Right,Two,Summer,6,50000,231,3
Semi-Finals,Hard,Right,One,Summer,1,50000,35,2
Round of 16,Hard,Right,Two,Summer,1,50000,337,2
Round of 32,Carpet,Right,Two,Autumn,1,675000,26,2
Round of 16,Carpet,Right,Two,Autumn,2,675000,15,3
Round of 32,Carpet,Right - Left,Two,Autumn,7,675000,13,2
Round of 32,Carpet,Right,Two,Autumn,6,675000,52,2
Quarter-Finals,Carpet,Right,Two,Autumn,3,675000,18,2
Round of 32,Carpet,Right - Left,Two,Autumn,3,675000,23,3
Round of 16,Carpet,Right,One,Autumn,1,675000,13,3
Semi-Finals,Carpet,Right,Two,Autumn,2,675000,6,3
Round of 32,Carpet,Right,Two,Autumn,5,675000,10,2
Round of 16,Carpet,Right - Left,Two,Autumn,4,675000,30,2
Round of 32,Carpet,Right - Left,Two,Autumn,1,675000,55,3
Semi-Finals,Carpet,Right - Left,Two,Autumn,1,675000,13,2
Round of 32,Carpet,Right - Left,Two,Autumn,8,675000,435,2
Quarter-Finals,Carpet,Right - Left,Two,Autumn,4,675000,15,3
Round of 16,Carpet,Right - Left,Two,Autumn,4,675000,25,2
Round of 32,Carpet,Right,One,Autumn,7,675000,5,2
Round of 16,Carpet,Right,Two,Autumn,3,675000,6,3
Round of 32,Carpet,Right,One,Autumn,3,675000,31,2
Round of 32,Carpet,Right,Two,Autumn,1,675000,99,2
Round of 32,Carpet,Right,Two,Autumn,9,675000,64,2
Round of 16,Carpet,Right - Left,One,Autumn,1,675000,18,3
Round of 32,Carpet,Right,One - Two,Autumn,1,675000,7,2
Round of 32,Carpet,Left,One,Autumn,2,675000,117,2
Round of 32,Carpet,Right,One - Two,Autumn,5,675000,1,2
Quarter-Finals,Carpet,Right - Left,Two,Autumn,1,675000,8,3
Round of 16,Carpet,Right,Two,Autumn,0,675000,16,2
Round of 32,Carpet,Right,Two,Autumn,1,675000,54,2
Round of 16,Carpet,Right,Two,Autumn,6,675000,127,2
Round of 32,Clay,Right,Two,Spring,1,355000,16,2
Round of 16,Clay,Right,One,Spring,5,355000,22,2
Quarter-Finals,Clay,Right,One,Spring,7,355000,14,2
Round of 32,Clay,Left,Two,Spring,4,355000,243,2
Round of 32,Clay,Right,One - Two,Spring,5,355000,65,2
Round of 16,Clay,Right,Two,Spring,5,355000,89,3
Quarter-Finals,Clay,Right - Left,Two,Spring,6,355000,52,3
Round of 32,Clay,Right,Two,Spring,5,355000,50,2
Round of 32,Clay,Right,Two,Spring,1,355000,80,2
Round of 16,Clay,Right - Left,Two,Spring,1,355000,48,2
Round of 32,Clay,Left,Two,Spring,4,355000,48,2
Round of 16,Clay,Right,One,Spring,3,355000,16,2
Quarter-Finals,Clay,Right,One,Spring,3,355000,61,2
Round of 32,Clay,Right,One,Spring,2,355000,75,3
Round of 32,Clay,Right,One,Spring,7,355000,34,2
Finals,Clay,Right,Two,Spring,8,355000,105,2
Semi-Finals,Clay,Right,Two,Spring,7,355000,121,2
Quarter-Finals,Clay,Right,Two,Spring,0,355000,72,2
Round of 16,Clay,Right,Two,Spring,4,355000,74,2
Round of 16,Clay,Right,One,Spring,4,355000,49,2
Round of 32,Clay,Right,One - Two,Spring,3,355000,10,2
Round of 16,Clay,Right,One - Two,Spring,4,355000,36,3
Round of 32,Clay,Right,One,Spring,9,355000,19,3
Round of 32,Clay,Right,Two,Spring,1,355000,48,3
Round of 16,Clay,Right,One,Summer,2,15000,48,3
Round of 32,Clay,Right,One,Summer,1,15000,55,2
Round of 16,Clay,Right,Two,Summer,1,15000,435,3
Round of 32,Clay,Right,Two,Summer,4,15000,435,2
Quarter-Finals,Clay,Right - Left,One - Two,Summer,2,15000,123,2
Round of 16,Clay,Right - Left,Two,Summer,1,15000,45,3
Round of 32,Clay,Right - Left,Two,Summer,1,15000,435,2
Quarter-Finals,Clay,Right,Two,Summer,3,15000,337,3
Finals,Clay,Right - Left,Two,Summer,1,15000,265,3
Semi-Finals,Clay,Right,Two,Summer,2,15000,142,3
Round of 16,Clay,Right,Two,Summer,6,15000,429,3
Quarter-Finals,Clay,Right,Two,Summer,0,15000,241,2
Quarter-Finals,Clay,Right,One - Two,Summer,0,10000,435,3
Finals,Clay,Right,Two,Summer,1,10000,435,2
Round of 32,Clay,Right - Left,Two,Summer,1,10000,435,2
Round of 16,Clay,Right,Two,Summer,5,10000,435,2
Round of 32,Clay,Right,One,Summer,1,10000,435,2
Round of 32,Clay,Right - Left,One,Summer,3,10000,148,3
Quarter-Finals,Clay,Right,Two,Summer,7,10000,43,2
Semi-Finals,Clay,Right,Two,Summer,5,10000,435,2
Round of 16,Clay,Right,One - Two,Summer,0,10000,432,3
Round of 32,Clay,Right,One - Two,Summer,6,10000,230,3
Semi-Finals,Clay,Right,Two,Summer,3,10000,182,2
Round of 32,Clay,Right,Two,Summer,2,10000,66,2
Quarter-Finals,Clay,Right,Two,Summer,2,10000,435,2
Round of 32,Clay,Right,Two,Summer,6,10000,435,3
Round of 16,Clay,Right - Left,Two,Summer,4,10000,194,3
Round of 16,Clay,Right,Two,Summer,3,10000,435,3
Round of 32,Clay,Right,Two,Summer,3,10000,435,2
Round of 32,Clay,Right - Left,Two,Summer,5,10000,209,2
Round of 16,Clay,Right,One,Summer,6,10000,435,3
Quarter-Finals,Clay,Right - Left,One,Summer,6,10000,338,2
Round of 32,Clay,Right,Two,Summer,8,15000,435,2
Round of 16,Clay,Right,Two,Summer,4,15000,435,2
Finals,Clay,Right,Two,Summer,1,15000,79,2
Semi-Finals,Clay,Right,Two,Summer,0,15000,155,2
Quarter-Finals,Clay,Right,One - Two,Summer,4,15000,435,2
Round of 32,Clay,Right,Two,Summer,1,15000,435,2
Round of 16,Clay,Right,One - Two,Summer,1,15000,125,2
Round of 32,Clay,Right,Two,Summer,1,15000,348,2
Round of 32,Clay,Right,One - Two,Summer,2,15000,435,2
Round of 16,Clay,Right - Left,Two,Summer,2,15000,435,2
Quarter-Finals,Clay,Right,Two,Summer,2,15000,435,2
Round of 32,Clay,Right,Two,Summer,1,15000,435,2
Round of 16,Clay,Right,Two,Summer,3,15000,435,2
Quarter-Finals,Clay,Right,Two,Summer,3,15000,435,2
Round of 32,Clay,Right,One,Summer,5,15000,306,2
Round of 16,Clay,Right,One,Summer,4,15000,256,2
Round of 32,Clay,Right,One,Summer,6,15000,435,3
Round of 16,Hard,Right - Left,One,Summer,1,15000,189,3
Round of 32,Hard,Right,Two,Summer,3,15000,284,3
Quarter-Finals,Hard,Right,One,Summer,4,15000,111,2
1st Round Qualifying,Hard,Right,One,Autumn,5,500000,435,2
2nd Round Qualifying,Hard,Right - Left,One - Two,Autumn,1,500000,100,2
1st Round Qualifying,Hard,Right - Left,One - Two,Autumn,4,500000,135,3
Round of 32,Hard,Right,One,Autumn,7,500000,45,2
Round of 32,Hard,Right - Left,Two,Autumn,2,500000,61,2
1st Round Qualifying,Hard,Right,One,Autumn,4,500000,21,2
2nd Round Qualifying,Hard,Right,Two,Autumn,5,500000,62,2
2nd Round Qualifying,Hard,Right - Left,One - Two,Autumn,2,500000,33,3
1st Round Qualifying,Hard,Right,One - Two,Autumn,11,500000,397,2
Round of 32,Hard,Right,Two,Autumn,0,500000,14,2
Round of 16,Hard,Right - Left,One,Autumn,2,500000,10,2
Round of 16,Hard,Right,Two,Autumn,3,500000,98,3
Round of 32,Hard,Right,Two,Autumn,1,500000,61,3
Quarter-Finals,Hard,Right,Two,Autumn,2,500000,31,3
Round of 32,Hard,Right,Two,Autumn,1,500000,7,2
Round of 16,Hard,Right - Left,One - Two,Autumn,4,500000,87,2
Round of 16,Hard,Right - Left,Two,Autumn,3,500000,131,2
Semi-Finals,Hard,Right - Left,Two,Autumn,3,500000,11,3
Round of 32,Hard,Right - Left,Two,Autumn,0,500000,36,2
Finals,Hard,Right - Left,Two,Autumn,7,500000,22,2
Quarter-Finals,Hard,Right - Left,Two,Autumn,2,500000,21,2
1st Round Qualifying,Hard,Right,Two,Autumn,0,500000,37,2
2nd Round Qualifying,Hard,Right,Two,Autumn,5,500000,57,3
Round of 32,Hard,Right - Left,Two,Autumn,4,500000,82,2
Round of 16,Hard,Right,One - Two,Autumn,1,500000,112,2
Quarter-Finals,Hard,Right - Left,One - Two,Autumn,7,500000,32,2
Semi-Finals,Hard,Right,One - Two,Autumn,5,500000,11,2
1st Round Qualifying,Hard,Right - Left,One,Autumn,8,500000,66,2
Round of 32,Hard,Right - Left,One,Autumn,4,500000,1,2
Round of 32,Hard,Right,One,Autumn,6,500000,55,3
Round of 32,Hard,Right,One,Autumn,1,500000,179,2
Quarter-Finals,Hard,Right,One,Autumn,2,500000,4,2
Round of 32,Hard,Right,Two,Autumn,3,500000,98,2
1st Round Qualifying,Hard,Right,One,Autumn,1,500000,81,3
1st Round Qualifying,Hard,Right - Left,Two,Autumn,6,500000,110,2
Round of 32,Hard,Right,Two,Autumn,3,500000,45,2
Round of 32,Hard,Right - Left,Two,Autumn,1,500000,75,3
Quarter-Finals,Clay,Right - Left,Two,Summer,0,10000,435,3
Semi-Finals,Clay,Left,Two,Summer,1,10000,435,2
Finals,Clay,Right - Left,One - Two,Summer,2,10000,435,2
Round of 16,Clay,Right - Left,Two,Summer,1,10000,168,3
Round of 32,Carpet,Right,Two,Winter,2,10000,288,3
Round of 16,Carpet,Left,Two,Winter,5,10000,221,3
Quarter-Finals,Carpet,Right - Left,Two,Winter,4,10000,175,3
Quarter-Finals,Carpet,Right,Two,Winter,12,10000,435,2
Round of 32,Carpet,Right - Left,Two,Winter,12,10000,435,2
Semi-Finals,Carpet,Right - Left,Two,Winter,12,10000,241,2
Finals,Carpet,Right,One - Two,Winter,12,10000,299,2
Round of 32,Carpet,Right - Left,One,Winter,5,10000,325,2
Round of 64,Clay,Right - Left,Two,Summer,0,735000,25,2
Round of 32,Clay,Right,Two,Summer,2,735000,71,3
Round of 64,Clay,Right,Two,Summer,4,735000,104,3
Round of 32,Clay,Left,One,Summer,4,735000,82,2
Round of 16,Clay,Right - Left,One,Summer,2,735000,73,2
Round of 32,Clay,Right,One,Summer,1,735000,145,2
Round of 64,Clay,Right - Left,Two,Summer,0,735000,1,2
Round of 16,Clay,Left,Two,Summer,3,735000,33,3
Semi-Finals,Clay,Right - Left,Two,Summer,4,735000,32,3
Round of 32,Clay,Right - Left,One - Two,Summer,3,735000,35,2
Round of 32,Clay,Right,One - Two,Summer,1,735000,51,2
Round of 64,Clay,Right,Two,Summer,0,735000,29,3
Semi-Finals,Clay,Right,One,Summer,1,735000,80,2
Quarter-Finals,Clay,Right,One,Summer,3,735000,12,3
Round of 32,Clay,Right,One,Summer,5,735000,64,2
Round of 16,Clay,Right,One,Summer,1,735000,85,2
Round of 64,Clay,Right - Left,Two,Summer,3,735000,10,2
Round of 32,Clay,Right - Left,Two,Summer,5,735000,182,3
Round of 32,Clay,Left,One,Summer,2,735000,140,2
Quarter-Finals,Clay,Right - Left,One,Summer,4,735000,70,2
Round of 64,Clay,Right,One,Summer,2,735000,17,2
Round of 16,Clay,Right,One,Summer,8,735000,10,3
Round of 32,Clay,Right,One,Summer,3,735000,86,2
Round of 32,Clay,Right,One,Summer,2,735000,55,2
Round of 32,Clay,Right,One,Summer,3,735000,35,2
Round of 64,Clay,Right,One,Summer,9,735000,2,2
Round of 16,Clay,Right,One - Two,Summer,4,735000,82,3
Round of 32,Clay,Right,One - Two,Summer,4,735000,46,2
Round of 32,Clay,Right,Two,Summer,4,735000,179,2
Quarter-Finals,Clay,Right,Two,Summer,3,735000,63,3
Round of 16,Clay,Right - Left,Two,Summer,3,735000,53,2
Round of 64,Clay,Right,One,Summer,9,735000,25,2
Round of 64,Clay,Right,Two,Summer,2,735000,6,2
Round of 64,Clay,Right,Two,Summer,0,735000,62,2
Round of 64,Clay,Right - Left,One,Summer,1,735000,65,2
Round of 64,Clay,Right,Two,Summer,5,735000,31,2
Round of 16,Clay,Right - Left,One,Summer,2,735000,42,2
Round of 16,Clay,Right,One - Two,Summer,4,15000,74,2
Round of 32,Clay,Right,Two,Summer,10,15000,248,2
Round of 32,Clay,Right,Two,Summer,3,15000,56,2
Round of 32,Clay,Right,Two,Summer,6,15000,435,3
Round of 32,Clay,Right,One,Summer,3,15000,191,3
Round of 32,Clay,Left,Two,Summer,1,15000,1,3
Finals,Clay,Right,One,Summer,4,15000,116,2
Semi-Finals,Clay,Right,One,Summer,5,15000,101,2
Round of 16,Clay,Right,One,Summer,5,15000,430,2
Quarter-Finals,Clay,Right,One,Summer,5,15000,235,2
Round of 16,Clay,Right,Two,Summer,1,15000,173,3
Round of 32,Clay,Right,Two,Summer,2,15000,154,2
Round of 16,Clay,Right,Two,Summer,0,15000,88,3
Quarter-Finals,Clay,Right,Two,Summer,4,15000,294,2
Round of 32,Clay,Right,Two,Summer,9,15000,435,2
Semi-Finals,Clay,Right,Two,Summer,7,15000,50,2
Round of 16,Clay,Right,Two,Summer,7,15000,117,3
Quarter-Finals,Clay,Right,One - Two,Summer,1,15000,33,2
Round of 32,Clay,Right,Two,Summer,1,15000,31,2
Quarter-Finals,Clay,Right,Two,Summer,10,15000,247,2
Round of 16,Clay,Right - Left,Two,Summer,4,15000,49,2
Round of 32,Clay,Right,Two,Summer,12,15000,127,3
Round of 32,Clay,Right - Left,Two,Summer,5,15000,212,2
Round of 16,Clay,Right,Two,Summer,3,15000,106,3
Quarter-Finals,Carpet,Right,One,Autumn,7,50000,207,3
Round of 16,Carpet,Right,One,Autumn,8,50000,72,2
Round of 32,Carpet,Right,One,Autumn,1,50000,435,2
Semi-Finals,Carpet,Right,One,Autumn,3,50000,22,2
Round of 16,Carpet,Right,One,Autumn,2,50000,60,2
Quarter-Finals,Carpet,Right,One,Autumn,1,50000,181,3
Finals,Carpet,Right - Left,One,Autumn,7,50000,27,3
Quarter-Finals,Carpet,Right - Left,Two,Autumn,5,50000,65,2
Round of 16,Carpet,Right - Left,Two,Autumn,10,50000,96,2
Semi-Finals,Carpet,Right - Left,Two,Autumn,12,50000,18,2
Round of 32,Carpet,Right,Two,Autumn,0,50000,20,2
Round of 32,Carpet,Right - Left,One - Two,Autumn,2,50000,154,2
Round of 16,Carpet,Right,Two,Autumn,1,50000,268,3
Quarter-Finals,Carpet,Right,Two,Autumn,1,50000,21,2
Round of 32,Carpet,Right,Two,Autumn,0,50000,111,2
Round of 32,Carpet,Right,Two,Autumn,0,50000,80,2
Round of 16,Carpet,Right,Two,Autumn,5,50000,45,2
Round of 16,Carpet,Right,Two,Autumn,6,50000,43,2
Round of 32,Carpet,Right - Left,Two,Autumn,1,50000,143,2
Round of 32,Carpet,Right,Two,Autumn,5,50000,39,3
Round of 16,Clay,Right,One,Summer,5,482060,34,2
Round of 32,Clay,Right - Left,One,Summer,5,482060,49,2
Round of 16,Clay,Right,Two,Summer,1,482060,291,2
Quarter-Finals,Clay,Right - Left,Two,Summer,1,482060,55,2
1st Round Qualifying,Clay,Right - Left,Two,Summer,7,482060,252,3
2nd Round Qualifying,Clay,Left,Two,Summer,4,482060,2,3
Round of 16,Clay,Right - Left,Two,Summer,2,482060,28,2
Round of 32,Clay,Right - Left,One,Summer,1,482060,7,3
Quarter-Finals,Clay,Right - Left,Two,Summer,1,482060,88,3
Round of 32,Clay,Right,One - Two,Summer,7,482060,37,3
Round of 16,Clay,Right,Two,Summer,7,482060,26,3
Semi-Finals,Clay,Right,Two,Summer,7,482060,95,2
1st Round Qualifying,Clay,Right,Two,Summer,2,482060,19,3
1st Round Qualifying,Clay,Left,Two,Summer,4,482060,435,2
2nd Round Qualifying,Clay,Right - Left,Two,Summer,5,482060,156,2
1st Round Qualifying,Clay,Right,Two,Summer,1,482060,171,2
1st Round Qualifying,Clay,Right - Left,Two,Summer,2,482060,228,3
Round of 32,Clay,Right,Two,Summer,3,482060,250,2
2nd Round Qualifying,Clay,Right,One - Two,Summer,11,482060,152,2
Quarter-Finals,Clay,Right,One,Summer,6,482060,24,3
Semi-Finals,Clay,Right,One,Summer,3,482060,22,2
Round of 32,Clay,Right - Left,One,Summer,6,482060,61,3
Round of 16,Clay,Right - Left,One,Summer,9,482060,1,2
Finals,Clay,Right,One,Summer,5,482060,15,2
Round of 16,Clay,Right - Left,One - Two,Summer,7,482060,61,2
Round of 32,Clay,Right - Left,Two,Summer,2,482060,8,2
2nd Round Qualifying,Clay,Right,Two,Summer,5,482060,30,2
1st Round Qualifying,Clay,Right,One - Two,Summer,9,482060,237,2
Round of 32,Clay,Right,Two,Summer,1,482060,70,3
Round of 16,Clay,Right,One - Two,Summer,10,482060,130,3
Quarter-Finals,Clay,Right,Two,Summer,4,482060,39,3
1st Round Qualifying,Clay,Right,One,Summer,8,482060,79,2
Round of 32,Clay,Right - Left,Two,Summer,1,482060,10,3
Round of 16,Clay,Right - Left,Two,Summer,10,10000,435,2
Quarter-Finals,Clay,Right,Two,Summer,5,10000,388,2
Round of 32,Clay,Right - Left,Two,Summer,8,10000,149,2
Round of 32,Carpet,Right - Left,Two,Summer,12,10000,435,2
Round of 32,Carpet,Right,Two,Summer,1,10000,268,2
2nd Round Qualifying,Clay,Right,Two,Summer,4,132280,66,2
1st Round Qualifying,Clay,Right,One - Two,Summer,7,132280,110,2
Round of 32,Clay,Right,Two,Summer,5,132280,17,3
Round of 32,Clay,Right - Left,Two,Summer,3,132280,37,2
Round of 16,Clay,Right - Left,Two,Summer,2,132280,59,3
Round of 32,Clay,Right,Two,Summer,10,132280,147,2
Round of 16,Clay,Right,Two,Summer,6,132280,15,3
Round of 32,Clay,Right,Two,Summer,1,132280,130,2
Round of 32,Clay,Right,Two,Summer,3,132280,17,2
2nd Round Qualifying,Clay,Right,Two,Summer,0,132280,62,3
1st Round Qualifying,Clay,Right,Two,Summer,7,132280,91,2
1st Round Qualifying,Clay,Right,One,Summer,3,132280,91,3
Quarter-Finals,Clay,Right - Left,Two,Summer,2,132280,36,2
Finals,Clay,Right - Left,Two,Summer,2,132280,5,3
Round of 16,Clay,Left,Two,Summer,11,132280,70,2
Semi-Finals,Clay,Right - Left,Two,Summer,6,132280,217,2
Round of 32,Clay,Right - Left,Two,Summer,10,132280,34,2
Quarter-Finals,Clay,Right - Left,Two,Summer,1,132280,72,2
Round of 32,Clay,Right - Left,Two,Summer,1,132280,435,2
Semi-Finals,Clay,Right,Two,Summer,2,132280,42,2
1st Round Qualifying,Clay,Right,Two,Summer,12,132280,58,2
Round of 32,Clay,Right - Left,Two,Summer,12,132280,95,2
Round of 16,Clay,Right,Two,Summer,5,132280,68,2
2nd Round Qualifying,Clay,Right,Two,Summer,0,132280,57,2
Round of 16,Clay,Right,Two,Summer,1,132280,188,3
Quarter-Finals,Clay,Right,One - Two,Summer,8,132280,45,2
Round of 32,Clay,Right,Two,Summer,1,132280,26,2
2nd Round Qualifying,Clay,Right,One - Two,Summer,3,132280,104,3
Quarter-Finals,Clay,Right,Two,Summer,6,132280,42,2
Round of 16,Clay,Right,Two,Summer,3,132280,119,2
Round of 32,Clay,Right - Left,Two,Summer,2,132280,228,3
Round of 16,Clay,Right,One,Summer,6,132280,89,2
Round of 32,Clay,Right,One,Summer,7,132280,295,2
Round of 32,Clay,Right,Two,Summer,6,132280,311,3
Round of 16,Clay,Left,Two,Summer,1,10000,313,3
Quarter-Finals,Clay,Right - Left,One,Summer,4,10000,172,2
Round of 16,Clay,Right,One,Summer,8,10000,435,2
Round of 32,Clay,Right,One - Two,Summer,2,10000,435,2
Round of 16,Clay,Right,One - Two,Summer,0,10000,435,3
Quarter-Finals,Clay,Right,One - Two,Summer,3,10000,192,2
Semi-Finals,Clay,Right,One,Summer,2,10000,34,2
Quarter-Finals,Clay,Right,Two,Summer,5,10000,16,2
Round of 16,Clay,Right,One,Summer,1,10000,422,3
Round of 32,Clay,Right,Two,Summer,1,10000,127,2
Quarter-Finals,Clay,Right,One,Summer,12,10000,435,3
Semi-Finals,Clay,Right,One,Summer,12,10000,257,2
Finals,Clay,Right - Left,Two,Summer,12,10000,4,3
Quarter-Finals,Clay,Right - Left,Two,Summer,12,10000,16,2
Semi-Finals,Clay,Right - Left,One - Two,Summer,2,10000,34,2
Round of 16,Clay,Right,Two,Summer,12,10000,435,3
Round of 16,Clay,Right,One,Summer,0,10000,435,2
Round of 32,Clay,Right - Left,Two,Summer,3,10000,435,2
1st Round Qualifying,Hard,Right,One - Two,Autumn,7,521405,202,3
Round of 16,Hard,Right,Two,Autumn,6,521405,27,2
3rd Round Qualifying,Hard,Right,One,Autumn,10,521405,71,3
2nd Round Qualifying,Hard,Right,One,Autumn,5,521405,72,3
1st Round Qualifying,Hard,Right,One,Autumn,7,521405,34,2
Round of 32,Hard,Right - Left,One,Autumn,11,521405,33,3
Round of 16,Hard,Right - Left,One,Autumn,2,521405,93,2
1st Round Qualifying,Hard,Right,Two,Autumn,1,521405,104,3
1st Round Qualifying,Hard,Right,One,Autumn,6,521405,47,3
Round of 32,Hard,Right - Left,Two,Autumn,9,521405,15,3
Round of 32,Hard,Right,Two,Autumn,3,521405,52,2
1st Round Qualifying,Hard,Right,Two,Autumn,11,521405,43,2
3rd Round Qualifying,Hard,Right,Two,Autumn,12,521405,49,2
2nd Round Qualifying,Hard,Right,Two,Autumn,3,521405,28,2
1st Round Qualifying,Hard,Right,Two,Autumn,3,521405,20,3
1st Round Qualifying,Hard,Right,Two,Autumn,3,521405,102,3
Quarter-Finals,Hard,Right,One,Autumn,3,521405,22,2
1st Round Qualifying,Hard,Right,One,Autumn,9,521405,217,2
Round of 32,Hard,Right,One - Two,Autumn,6,521405,34,3
1st Round Qualifying,Hard,Right - Left,Two,Autumn,5,521405,106,2
2nd Round Qualifying,Hard,Right - Left,Two,Autumn,1,521405,61,3
Round of 32,Hard,Right,One,Autumn,12,521405,125,3
1st Round Qualifying,Hard,Right,Two,Autumn,6,521405,23,2
2nd Round Qualifying,Hard,Right - Left,One - Two,Autumn,12,521405,40,3
Round of 16,Hard,Left,One - Two,Autumn,7,521405,54,3
Round of 32,Hard,Right,One - Two,Autumn,1,521405,16,3
Round of 32,Hard,Right,One - Two,Autumn,3,521405,163,3
2nd Round Qualifying,Hard,Right,One,Autumn,4,521405,64,2
3rd Round Qualifying,Hard,Right,One,Autumn,12,521405,23,2
Round of 16,Hard,Right,Two,Autumn,1,521405,96,2
2nd Round Qualifying,Hard,Right,One - Two,Autumn,2,521405,294,3
1st Round Qualifying,Hard,Right,Two,Autumn,7,521405,318,2
3rd Round Qualifying,Hard,Right - Left,Two,Autumn,2,521405,41,3
Quarter-Finals,Hard,Right - Left,Two,Autumn,2,521405,59,3
1st Round Qualifying,Hard,Right - Left,Two,Autumn,2,521405,44,2
Round of 16,Hard,Right,One,Autumn,12,501355,64,2
Round of 16,Hard,Right,Two,Autumn,5,501355,57,2
3rd Round Qualifying,Hard,Right,One,Autumn,0,501355,131,3
Round of 32,Hard,Right,Two,Autumn,5,501355,182,2
2nd Round Qualifying,Hard,Right,Two,Autumn,0,501355,304,3
Round of 32,Hard,Right - Left,Two,Autumn,2,501355,114,2
Round of 32,Hard,Right,One - Two,Autumn,0,501355,55,2
Round of 16,Hard,Right,Two,Autumn,6,501355,165,2
Quarter-Finals,Hard,Right - Left,Two,Autumn,3,501355,132,3
Round of 32,Hard,Right,Two,Autumn,1,501355,31,2
3rd Round Qualifying,Hard,Right,Two,Autumn,12,501355,172,2
Round of 32,Hard,Right,Two,Autumn,12,501355,189,2
1st Round Qualifying,Hard,Right,Two,Autumn,2,501355,435,2
3rd Round Qualifying,Hard,Right,Two,Autumn,1,501355,24,2
Round of 32,Hard,Right,Two,Autumn,12,501355,115,2
Round of 16,Hard,Right,Two,Autumn,9,501355,27,3
Round of 32,Hard,Right,Two,Autumn,7,501355,148,2
Quarter-Finals,Hard,Right,Two,Autumn,0,501355,46,3
Round of 32,Hard,Right,Two,Autumn,2,501355,181,3
2nd Round Qualifying,Hard,Right - Left,Two,Autumn,0,501355,94,2
Round of 32,Hard,Right - Left,Two,Autumn,5,501355,70,2
3rd Round Qualifying,Hard,Right - Left,Two,Autumn,7,501355,37,3
Round of 16,Hard,Right - Left,One - Two,Autumn,4,501355,152,3
Round of 32,Hard,Right,Two,Autumn,9,501355,13,2
Semi-Finals,Carpet,Right,Two,Spring,2,10000,130,2
Finals,Carpet,Right,Two,Spring,4,10000,20,2
Round of 32,Carpet,Right,Two,Spring,11,10000,407,2
Round of 32,Carpet,Right,Two,Spring,1,10000,30,2
Round of 16,Carpet,Right,Two,Spring,1,10000,79,2
Round of 16,Carpet,Right,Two,Spring,5,10000,435,2
Round of 32,Carpet,Right,Two,Spring,3,10000,22,2
Round of 32,Carpet,Right - Left,One,Spring,10,10000,435,3
Round of 32,Carpet,Right - Left,Two,Spring,2,10000,98,2
Round of 32,Carpet,Right - Left,Two,Spring,7,10000,91,2
Round of 16,Carpet,Right,Two,Spring,6,10000,198,3
Quarter-Finals,Carpet,Right,Two,Spring,4,10000,91,2
Round of 32,Clay,Right,One,Summer,3,10000,435,2
Round of 16,Clay,Right,One,Summer,6,10000,225,2
Round of 32,Clay,Right,Two,Summer,7,10000,435,2
Round of 32,Clay,Right,One,Summer,8,10000,148,2
Round of 32,Clay,Right,One,Summer,1,10000,435,2
Round of 16,Clay,Right,Two,Summer,1,10000,435,3
Round of 32,Clay,Right,One,Summer,5,10000,190,2
Round of 16,Clay,Right,One,Summer,6,10000,431,2
Quarter-Finals,Clay,Right - Left,One,Summer,7,10000,378,3
Round of 32,Clay,Right,One,Summer,11,10000,313,2
Round of 32,Clay,Right,Two,Summer,3,10000,307,2
Round of 16,Clay,Left,Two,Summer,4,10000,230,2
Round of 32,Clay,Right - Left,Two,Summer,2,10000,58,3
Semi-Finals,Clay,Right,One,Summer,1,10000,110,2
Round of 16,Clay,Right,One,Summer,9,10000,435,2
Round of 32,Clay,Right - Left,Two,Summer,5,10000,435,2
Round of 32,Clay,Right - Left,Two,Summer,3,10000,435,2
Quarter-Finals,Clay,Right - Left,Two,Summer,1,10000,211,3
Quarter-Finals,Clay,Right,Two,Summer,3,10000,87,2
Round of 16,Clay,Right,Two,Summer,5,10000,435,2
Semi-Finals,Clay,Right - Left,Two,Summer,4,10000,108,2
Round of 64,Clay,Right,Two,Summer,8,375000,116,2
Round of 32,Clay,Right,Two,Summer,0,375000,92,3
Round of 64,Clay,Right,Two,Summer,5,375000,22,2
Quarter-Finals,Clay,Right,Two,Summer,4,375000,78,3
Round of 16,Clay,Right,Two,Summer,0,375000,18,2
Semi-Finals,Clay,Right - Left,One - Two,Summer,5,375000,103,3
Round of 64,Clay,Right,Two,Summer,6,375000,141,3
Round of 32,Clay,Right - Left,Two,Summer,3,375000,67,2
Round of 16,Clay,Right - Left,Two,Summer,1,375000,70,2
Round of 64,Clay,Right - Left,Two,Summer,3,375000,33,2
Round of 32,Clay,Right - Left,Two,Summer,4,375000,120,3
Round of 32,Clay,Right,Two,Summer,2,375000,101,3
Round of 16,Clay,Right,Two,Summer,3,375000,136,2
Quarter-Finals,Clay,Left,Two,Summer,1,375000,109,2
Round of 16,Clay,Left,Two,Summer,3,375000,89,2
Round of 32,Clay,Right - Left,Two,Summer,4,375000,370,2
Round of 64,Clay,Right,One,Summer,3,375000,81,2
Round of 16,Clay,Right,Two,Summer,3,375000,36,3
Round of 32,Clay,Right,One,Summer,3,375000,160,2
Round of 32,Clay,Right,Two,Summer,6,375000,297,2
Round of 64,Clay,Right - Left,Two,Summer,3,375000,9,2
Round of 32,Clay,Right,Two,Summer,5,375000,29,2
Round of 64,Clay,Left,Two,Summer,5,375000,185,2
